InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateTime,IsCancelled,IsProduct
536370,POST,POSTAGE,3,12/1/10 8:45,18.0,12583.0,France,2010-12-01 08:45:00,False,False
536403,POST,POSTAGE,1,12/1/10 11:27,15.0,12791.0,Netherlands,2010-12-01 11:27:00,False,False
536527,POST,POSTAGE,1,12/1/10 13:04,18.0,12662.0,Germany,2010-12-01 13:04:00,False,False
536540,C2,CARRIAGE,1,12/1/10 14:05,50.0,14911.0,EIRE,2010-12-01 14:05:00,False,False
536544,DOT,DOTCOM POSTAGE,1,12/1/10 14:32,569.77,,United Kingdom,2010-12-01 14:32:00,False,False
536569,M,Manual,1,12/1/10 15:35,1.25,16274.0,United Kingdom,2010-12-01 15:35:00,False,False
536569,M,Manual,1,12/1/10 15:35,18.95,16274.0,United Kingdom,2010-12-01 15:35:00,False,False
536592,DOT,DOTCOM POSTAGE,1,12/1/10 17:06,607.49,,United Kingdom,2010-12-01 17:06:00,False,False
536779,BANK CHARGES,Bank Charges,1,12/2/10 15:08,15.0,15823.0,United Kingdom,2010-12-02 15:08:00,False,False
536840,POST,POSTAGE,1,12/2/10 18:27,18.0,12738.0,Germany,2010-12-02 18:27:00,False,False
536852,POST,POSTAGE,1,12/3/10 9:51,18.0,12686.0,France,2010-12-03 09:51:00,False,False
536858,POST,POSTAGE,2,12/3/10 10:36,40.0,13520.0,Switzerland,2010-12-03 10:36:00,False,False
536861,POST,POSTAGE,3,12/3/10 10:44,18.0,12427.0,Germany,2010-12-03 10:44:00,False,False
536862,DOT,DOTCOM POSTAGE,1,12/3/10 11:13,254.43,,United Kingdom,2010-12-03 11:13:00,False,False
536864,DOT,DOTCOM POSTAGE,1,12/3/10 11:27,121.06,,United Kingdom,2010-12-03 11:27:00,False,False
536865,M,Manual,1,12/3/10 11:28,2.55,,United Kingdom,2010-12-03 11:28:00,False,False
536865,DOT,DOTCOM POSTAGE,1,12/3/10 11:28,498.47,,United Kingdom,2010-12-03 11:28:00,False,False
536876,DOT,DOTCOM POSTAGE,1,12/3/10 11:36,887.52,,United Kingdom,2010-12-03 11:36:00,False,False
536967,POST,POSTAGE,1,12/3/10 12:57,18.0,12600.0,Germany,2010-12-03 12:57:00,False,False
